BookingID,Date,TeeTime,Course,Players,GreenFee,CartFee,FandB,TotalRevenue,BookingSource,CustomerType,Cancelled,Weather
TN000123,2025-12-09,12:20:00,Monument,3,211.7,105.23,136.31,876.64,Walk-up,Public,No,Clear
TN000124,2025-03-02,08:00:00,Monument,3,218.46,91.44,0.0,746.82,Online,Member,No,Clear
TN000125,2025-01-21,14:00:00,Pinnacle,3,218.93,98.46,0.0,755.25,Online,Public,No,Clear
TN000126,2025-07-28,11:00:00,Monument,2,114.22,62.44,0.0,0.0,Online,Member,Yes,Windy
TN000127,2025-02-17,14:10:00,Monument,3,157.26,93.38,0.0,565.16,Concierge,ResortGuest,No,Clear
TN000128,2025-06-14,09:20:00,Monument,3,112.33,91.1,0.0,0.0,Online,Member,Yes,Clear
TN000129,2025-03-23,08:00:00,Monument,3,303.12,102.62,0.0,1011.98,Online,Public,No,Cloudy
TN000130,2025-03-31,09:20:00,Monument,4,212.32,140.18,0.0,989.46,Phone,ResortGuest,No,Clear
TN000131,2025-09-14,11:10:00,Monument,4,110.4,129.54,0.0,571.14,Sales/Events,Group,No,Windy
TN000132,2025-03-27,13:40:00,Pinnacle,2,180.25,64.85,0.0,0.0,Walk-up,Member,Yes,Windy
TN000133,2025-11-19,07:00:00,Pinnacle,4,327.57,140.75,0.0,0.0,Online,Public,Yes,Clear
TN000134,2025-10-18,10:30:00,Pinnacle,4,195.59,133.13,78.07,993.56,Online,Public,No,Cloudy
TN000135,2025-12-12,07:10:00,Monument,3,241.93,92.24,128.75,946.78,Walk-up,Member,No,Clear
TN000136,2025-11-04,09:00:00,Monument,4,292.32,136.93,142.2,1448.41,Online,Public,No,Clear
TN000137,2025-03-25,07:30:00,Monument,3,292.56,101.51,0.0,979.19,Online,Public,No,Cloudy
TN000138,2025-10-26,07:30:00,Pinnacle,3,200.07,95.79,165.76,861.76,Online,Member,No,Cloudy
TN000139,2025-12-13,07:00:00,Pinnacle,4,269.94,135.48,181.12,1396.36,Concierge,ResortGuest,No,Windy
TN000140,2025-11-09,09:00:00,Monument,2,292.01,66.54,0.0,650.56,Phone,Public,No,Clear
TN000141,2025-03-04,08:40:00,Pinnacle,3,303.23,102.98,172.82,1185.49,Online,Public,No,Windy
TN000142,2025-11-01,06:30:00,Pinnacle,4,316.28,136.81,0.0,1401.93,Online,Public,No,Clear
TN000143,2025-11-23,13:40:00,Monument,4,171.53,121.22,0.0,807.34,Online,Member,No,Clear
TN000144,2025-12-11,07:20:00,Pinnacle,3,290.0,102.53,130.58,1103.11,Walk-up,Public,No,Cloudy
TN000145,2025-01-04,06:30:00,Pinnacle,4,316.58,140.04,0.0,0.0,Online,Public,Yes,Clear
TN000146,2025-02-06,07:00:00,Monument,4,282.06,135.9,155.4,1419.54,Concierge,ResortGuest,No,Clear
TN000147,2025-11-16,07:50:00,Monument,2,292.45,65.58,0.0,650.48,Walk-up,Public,No,Clear
TN000148,2025-01-25,10:20:00,Monument,4,240.63,135.52,0.0,0.0,Concierge,ResortGuest,Yes,Clear
TN000149,2025-08-03,09:30:00,Monument,4,126.49,133.21,113.96,753.13,Concierge,ResortGuest,No,Clear
TN000150,2025-08-30,13:00:00,Monument,2,111.74,66.32,44.27,334.07,Phone,Public,No,Clear
TN000151,2025-03-01,07:50:00,Pinnacle,3,262.41,101.23,0.0,888.46,Phone,ResortGuest,No,Cloudy
TN000152,2025-12-02,08:50:00,Pinnacle,4,277.78,125.47,135.73,1372.32,Sales/Events,Group,No,Windy
TN000153,2025-05-03,13:10:00,Monument,3,111.48,99.46,0.0,433.9,Online,Public,No,Clear
TN000154,2025-08-16,12:40:00,Monument,2,112.47,67.47,0.0,292.41,Online,Public,No,Clear
TN000155,2025-11-18,07:50:00,Monument,4,231.1,130.12,197.25,1251.77,Phone,Member,No,Clear
TN000156,2025-02-26,06:40:00,Pinnacle,3,246.33,94.81,0.0,833.8,Online,Member,No,Clear
TN000157,2025-10-17,10:30:00,Pinnacle,3,199.97,105.06,0.0,704.97,Online,ResortGuest,No,Clear
TN000158,2025-03-04,08:10:00,Monument,2,228.42,63.8,0.0,520.64,Online,Member,No,Windy
TN000159,2025-03-31,08:10:00,Pinnacle,4,241.26,125.24,0.0,1090.28,Phone,Member,No,Clear
TN000160,2025-11-09,12:00:00,Monument,4,202.38,120.71,123.43,1053.66,Sales/Events,Group,No,Clear
TN000161,2025-12-05,07:40:00,Monument,4,302.53,133.18,0.0,1343.3,Phone,Public,No,Clear
TN000162,2025-02-13,08:50:00,Pinnacle,4,312.36,131.03,0.0,0.0,Phone,Public,Yes,Clear
TN000163,2025-01-29,07:00:00,Monument,4,283.46,135.84,0.0,1269.68,Concierge,ResortGuest,No,Clear
TN000164,2025-06-19,09:00:00,Pinnacle,3,120.99,92.23,0.0,455.2,Online,Member,No,Clear
TN000165,2025-12-01,06:30:00,Monument,1,307.25,40.0,0.0,347.25,Online,Public,No,Clear
TN000166,2025-03-23,11:00:00,Monument,3,216.8,98.26,0.0,748.66,Concierge,ResortGuest,No,Clear
TN000167,2025-11-18,06:40:00,Pinnacle,3,284.17,99.26,155.06,1106.83,Concierge,ResortGuest,No,Clear
TN000168,2025-01-21,08:20:00,Monument,3,224.12,95.05,0.0,767.41,Phone,Member,No,Cloudy
TN000169,2025-01-05,10:00:00,Pinnacle,3,251.69,100.56,205.72,1061.35,Online,Public,No,Clear
TN000170,2025-03-21,09:20:00,Pinnacle,4,206.34,126.69,223.44,1175.49,Phone,Member,No,Clear
TN000171,2025-11-29,06:50:00,Monument,3,251.88,99.77,0.0,855.41,Online,ResortGuest,No,Clear
TN000172,2025-04-26,10:10:00,Pinnacle,4,215.53,131.79,0.0,993.91,Online,Public,No,Clear
TN000173,2025-10-29,11:30:00,Monument,2,178.91,67.78,0.0,425.6,Online,ResortGuest,No,Clear
TN000174,2025-02-19,09:50:00,Monument,2,266.32,70.48,0.0,603.12,Online,Public,No,Clear
TN000175,2025-02-09,10:10:00,Pinnacle,3,217.36,96.28,105.66,854.02,Online,Member,No,Cloudy
TN000176,2025-09-28,11:00:00,Pinnacle,4,137.96,132.66,222.15,906.65,Walk-up,Public,No,Windy
TN000177,2025-02-28,07:50:00,Monument,4,300.08,138.06,0.0,1338.38,Phone,Public,No,Clear
TN000178,2025-03-29,09:00:00,Pinnacle,4,322.48,134.83,101.39,1526.14,Online,Public,No,Cloudy
TN000179,2025-05-31,10:40:00,Pinnacle,2,141.17,67.2,79.4,428.94,Online,Public,No,Clear
TN000180,2025-01-12,09:50:00,Monument,3,258.82,105.73,0.0,882.19,Online,Public,No,Clear
TN000181,2025-01-18,07:30:00,Pinnacle,4,295.74,137.97,218.88,1539.81,Concierge,ResortGuest,No,Clear
TN000182,2025-09-06,13:00:00,Monument,1,114.13,40.0,27.57,181.7,Walk-up,Public,No,Clear
TN000183,2025-01-04,08:30:00,Pinnacle,3,315.75,105.57,178.54,1231.36,Online,Public,No,Clear
TN000184,2025-06-08,15:00:00,Pinnacle,4,90.95,119.22,0.0,483.02,Online,ResortGuest,No,Clear
TN000185,2025-02-12,06:30:00,Monument,3,309.84,105.78,0.0,1035.3,Online,Public,No,Clear
TN000186,2025-03-02,07:50:00,Pinnacle,3,267.5,104.03,0.0,906.53,Online,ResortGuest,No,Cloudy
TN000187,2025-07-27,08:40:00,Pinnacle,2,155.7,65.42,85.29,462.11,Phone,ResortGuest,No,Clear
TN000188,2025-08-01,06:50:00,Monument,4,136.33,134.3,0.0,679.62,Online,ResortGuest,No,Clear
TN000189,2025-11-29,11:40:00,Pinnacle,2,271.54,70.4,31.32,644.8,Phone,Public,No,Cloudy
TN000190,2025-12-02,07:40:00,Monument,4,246.26,122.17,0.0,1107.21,Sales/Events,Group,No,Windy
TN000191,2025-03-09,14:00:00,Pinnacle,2,219.34,70.24,0.0,508.92,Online,Public,No,Cloudy
TN000192,2025-03-24,06:30:00,Monument,4,301.36,135.02,0.0,1340.46,Walk-up,Public,No,Clear
TN000193,2025-04-26,08:40:00,Monument,4,253.64,139.16,255.29,1409.01,Online,Public,No,Clear
TN000194,2025-05-31,07:40:00,Monument,3,148.51,99.63,0.0,545.16,Phone,ResortGuest,No,Clear
TN000195,2025-03-02,14:50:00,Pinnacle,3,195.38,93.65,98.12,777.91,Walk-up,Public,No,Cloudy
TN000196,2025-11-25,12:10:00,Pinnacle,4,206.0,136.81,0.0,960.81,Concierge,ResortGuest,No,Clear
TN000197,2025-02-22,09:00:00,Pinnacle,2,338.93,68.16,0.0,746.02,Online,Public,No,Clear
TN000198,2025-02-25,14:40:00,Pinnacle,2,185.03,61.24,78.25,509.55,Online,Public,No,Clear
TN000199,2025-01-11,08:10:00,Pinnacle,3,263.53,92.99,90.32,973.9,Phone,Member,No,Windy
TN000200,2025-12-09,08:30:00,Pinnacle,4,225.12,127.29,174.93,1202.7,Online,Member,No,Cloudy
TN000201,2025-03-22,11:40:00,Pinnacle,3,281.51,101.01,0.0,945.54,Online,Public,No,Cloudy
TN000202,2025-10-25,10:50:00,Monument,4,171.36,139.71,0.0,825.15,Online,ResortGuest,No,Cloudy
TN000203,2025-12-03,14:20:00,Pinnacle,3,185.82,91.51,0.0,648.97,Phone,ResortGuest,No,Clear
TN000204,2025-06-21,11:20:00,Monument,3,143.98,102.17,56.22,590.33,Online,Public,No,Clear
TN000205,2025-08-03,12:30:00,Pinnacle,3,104.97,101.03,75.7,491.64,Concierge,ResortGuest,No,Clear
TN000206,2025-08-31,08:10:00,Monument,4,147.67,131.96,0.0,722.64,Online,Public,No,Clear
TN000207,2025-01-19,11:10:00,Monument,3,252.66,102.64,0.0,860.62,Online,Public,No,Cloudy
TN000208,2025-04-09,09:30:00,Pinnacle,2,213.86,67.98,0.0,495.7,Phone,Public,No,Clear
TN000209,2025-12-25,08:40:00,Monument,2,239.2,63.76,36.61,578.77,Online,Member,No,Clear
TN000210,2025-11-10,07:40:00,Pinnacle,3,298.15,101.63,0.0,996.08,Online,Public,No,Clear
TN000211,2025-04-13,08:40:00,Pinnacle,3,266.36,99.44,0.0,898.52,Online,Public,No,Clear
TN000212,2025-10-25,13:30:00,Monument,4,148.97,135.3,102.96,834.14,Concierge,ResortGuest,No,Cloudy
TN000213,2025-11-06,09:50:00,Monument,4,259.03,135.01,0.0,1171.13,Walk-up,Public,No,Cloudy
TN000214,2025-02-26,07:30:00,Pinnacle,3,332.89,98.39,113.86,1210.92,Walk-up,Public,No,Clear
TN000215,2025-02-06,07:20:00,Pinnacle,3,261.28,91.64,65.06,940.54,Online,Member,No,Clear
TN000216,2025-03-07,08:40:00,Monument,3,224.52,91.83,0.0,765.39,Online,Member,No,Clear
TN000217,2025-06-13,07:50:00,Monument,3,155.41,103.15,104.76,674.14,Phone,Public,No,Cloudy
TN000218,2025-11-01,06:40:00,Pinnacle,3,245.27,92.27,149.78,977.86,Walk-up,Member,No,Clear
TN000219,2025-03-13,12:00:00,Pinnacle,4,261.42,136.87,55.3,1237.85,Phone,Public,No,Clear
TN000220,2025-05-31,11:40:00,Monument,2,127.14,68.32,89.66,412.26,Phone,Public,No,Clear
TN000221,2025-08-17,11:20:00,Pinnacle,3,119.61,105.6,183.42,647.85,Concierge,ResortGuest,No,Clear
TN000222,2025-04-19,09:00:00,Monument,3,216.72,100.01,0.0,750.17,Online,Public,No,Clear
TN000223,2025-02-22,14:00:00,Pinnacle,2,181.84,63.51,88.12,515.31,Online,Member,No,Clear
TN000224,2025-10-05,10:40:00,Pinnacle,3,196.01,102.11,0.0,690.14,Concierge,ResortGuest,No,Clear
TN000225,2025-03-28,07:20:00,Pinnacle,4,240.59,124.19,115.19,1201.74,Online,Member,No,Clear
TN000226,2025-03-30,07:40:00,Pinnacle,3,288.83,102.21,57.65,1026.35,Online,Public,No,Clear
TN000227,2025-01-13,09:30:00,Pinnacle,4,228.43,138.11,70.41,1122.24,Online,ResortGuest,No,Windy
TN000228,2025-10-12,13:30:00,Monument,2,186.31,69.56,98.2,540.38,Walk-up,Public,No,Windy
TN000229,2025-04-12,13:40:00,Pinnacle,4,171.43,139.54,81.61,906.87,Concierge,ResortGuest,No,Clear
TN000230,2025-06-23,10:40:00,Monument,2,135.16,68.57,0.0,338.89,Online,Public,No,Clear
TN000231,2025-07-27,10:40:00,Monument,2,130.51,68.69,109.18,438.89,Walk-up,Public,No,Rain
TN000232,2025-04-12,08:30:00,Monument,3,194.02,97.36,53.1,732.52,Phone,Member,No,Clear
TN000233,2025-02-23,10:30:00,Pinnacle,4,231.21,122.65,147.37,1194.86,Phone,Group,No,Clear
TN000234,2025-10-25,11:10:00,Pinnacle,3,219.77,98.07,0.0,757.38,Online,Public,No,Cloudy
TN000235,2025-12-06,07:10:00,Pinnacle,4,294.43,136.95,0.0,1314.67,Online,Public,No,Cloudy
TN000236,2025-09-21,10:30:00,Pinnacle,3,110.49,90.72,0.0,422.19,Online,Member,No,Clear
TN000237,2025-11-03,07:20:00,Pinnacle,3,290.08,100.43,0.0,970.67,Online,Public,No,Clear
TN000238,2025-01-14,15:00:00,Pinnacle,4,194.35,121.8,105.54,1004.74,Walk-up,Public,No,Clear
TN000239,2025-07-17,08:50:00,Pinnacle,3,171.02,104.84,0.0,0.0,Walk-up,Public,Yes,Clear
TN000240,2025-06-14,13:10:00,Pinnacle,4,99.57,139.55,145.79,683.62,Concierge,ResortGuest,No,Clear
TN000241,2025-05-16,12:20:00,Pinnacle,3,132.15,103.09,0.0,499.54,Phone,Public,No,Clear
TN000242,2025-08-10,13:00:00,Pinnacle,4,131.33,133.7,214.47,873.49,Phone,Public,No,Cloudy
TN000243,2025-12-27,11:10:00,Monument,4,212.7,122.5,95.54,1068.84,Phone,Member,No,Cloudy
TN000244,2025-11-15,13:10:00,Pinnacle,3,221.66,99.66,62.66,827.3,Online,Public,No,Clear
TN000245,2025-05-25,08:50:00,Pinnacle,2,153.68,69.78,53.73,430.87,Online,Public,No,Clear
TN000246,2025-06-24,07:30:00,Monument,3,131.92,104.54,113.13,613.43,Phone,ResortGuest,No,Windy
TN000247,2025-05-21,11:50:00,Pinnacle,2,115.19,61.32,0.0,0.0,Walk-up,Member,Yes,Clear
TN000248,2025-11-02,13:40:00,Monument,4,208.2,138.57,127.72,1099.09,Online,Public,No,Clear
